Date,Team A,Score A,Team B,Score B,Game ID,Knock-out,Possession A - Overall,Possession B - Overall,Possession A - 1st half,Possession B - 1st half,Possession A - 2nd half,Possession B - 2nd half,Tries A,Tries B,Conversions A,Conversions B,Penalties A,Penalties B,Metres A,Metres B,Defenders Beaten A,Defenders Beaten B,Clean breaks A,Clean breaks B,Gain line Carries A,Gain line Carries B,Passes A,Passes B,Offloads A,Offloads B,Turnovers won A,Turnovers won B,Kicks from Hand A,Kicks from Hand B,Rucks Won A,Rucks Won B,Tackles Made A,Tackles Made B,Tackles Missed A,Tackles Missed B,Goal Kicks Successful A,Goal Kicks Attempted A,Goal Kicks Successful B,Goal Kicks Attempted B,Rucks Successful A,Total Rucks A,Rucks Successful B,Total Rucks B,Lineouts Successful A,Lineouts Thrown A,Lineouts Successful B,Lineouts Thrown B,Scrums Successful A,Scrums Total A,Scrums Successful B,Scrums Total B,Penalties Conceded Own Half A,Penalties Conceded Own Half B,Penalties Conceded Opp Half A,Penalties Conceded Opp Half B,Yellow Cards A,Yellow Cards B,Red Cards A,Red Cards B
28-Oct-2023,New Zealand,11,South Africa,12,87881,Yes,60,40,63,37,58,42,1,0,0,0,2,4,459,360,37,14,7,4,66,37,221,84,5,7,2,7,34,38,115,56,92,209,14,37,2,4,4,4,115,120,56,56,20,22,6,10,2,2,10,11,4,6,1,4,1,2,1,0
27-Oct-2023,Argentina,23,England,26,87880,Yes,53,47,45,55,59,41,2,2,2,2,3,4,421,282,34,14,6,4,54,37,139,90,4,0,2,5,38,45,109,63,107,175,14,34,5,6,6,6,109,111,63,66,8,8,7,8,6,7,9,12,5,6,2,2,0,0,0,0
21-Oct-2023,England,15,South Africa,16,87879,Yes,56,44,52,48,59,41,0,1,0,1,4,3,236,190,14,15,0,3,33,30,78,67,4,2,8,4,41,29,67,52,89,109,15,14,4,4,4,4,67,68,52,55,7,10,15,19,3,7,7,8,4,4,7,4,0,0,0,0
20-Oct-2023,Argentina,6,New Zealand,44,87878,Yes,43,57,46,54,40,60,0,7,0,3,2,1,522,621,23,51,6,11,79,92,182,214,6,10,3,5,22,36,115,120,192,185,51,23,2,2,4,8,115,119,120,122,10,12,18,19,4,4,4,4,4,3,6,4,0,1,0,0
15-Oct-2023,France,28,South Africa,29,87877,Yes,60,40,59,41,60,40,3,4,2,3,3,1,520,424,43,12,13,6,81,36,156,82,13,2,5,8,24,27,103,56,92,158,12,43,5,7,4,5,103,108,56,59,12,12,5,5,5,9,7,8,2,5,4,1,0,1,0,0
15-Oct-2023,England,30,Fiji,24,87876,Yes,49,51,53,47,46,54,2,3,1,3,5,1,501,402,29,34,3,8,57,56,123,156,4,10,5,7,30,20,69,90,151,115,34,29,6,8,4,7,69,73,90,95,11,11,17,19,4,5,4,6,4,8,6,4,0,1,0,0
14-Oct-2023,Ireland,24,New Zealand,28,87875,Yes,55,45,51,49,58,42,3,3,2,2,1,3,633,465,31,22,7,6,94,60,325,137,8,3,4,7,20,33,129,94,155,226,22,31,3,4,5,7,129,134,94,97,13,15,8,8,0,0,5,5,4,8,6,2,0,2,0,0
14-Oct-2023,Wales,17,Argentina,29,87874,Yes,44,56,43,57,45,55,2,2,2,2,1,5,619,431,22,20,8,5,49,67,144,142,6,8,3,7,25,34,58,109,166,95,20,22,3,4,7,8,58,62,109,111,6,10,10,10,8,10,7,7,9,4,3,3,0,0,0,0
8-Oct-2023,Fiji,23,Portugal,24,87873,No,54,46,52,48,56,44,2,3,2,3,3,1,737,558,32,22,6,8,77,58,143,139,7,13,7,9,30,37,96,59,90,171,22,32,5,5,4,4,96,101,59,62,15,17,12,16,2,3,3,6,2,8,9,4,1,0,0,0
8-Oct-2023,Tonga,45,Romania,24,87872,No,57,43,52,48,63,37,7,3,5,3,0,1,735,292,43,13,15,5,78,45,192,113,16,2,3,9,17,31,77,65,96,133,13,43,5,7,4,5,77,82,65,68,16,17,9,12,1,2,6,8,5,2,4,6,1,1,0,0
8-Oct-2023,Japan,27,Argentina,39,87871,No,48,52,46,54,50,50,3,5,3,4,1,2,449,519,29,26,6,10,60,59,156,143,7,3,3,4,19,22,72,95,159,120,26,29,4,4,6,8,72,75,95,96,8,9,5,6,10,10,5,8,3,4,3,3,1,0,0,0
7-Oct-2023,Ireland,36,Scotland,14,87870,No,46,54,48,52,43,57,6,2,3,2,0,0,468,636,15,27,5,3,74,85,160,235,5,11,7,3,30,17,82,113,195,140,27,15,3,6,2,2,82,84,113,120,12,12,9,12,3,5,4,6,4,4,3,7,0,1,0,0
7-Oct-2023,England,18,Samoa,17,87869,No,55,45,49,51,60,40,2,2,1,2,2,1,402,434,26,15,8,7,46,55,113,135,2,10,7,5,25,25,61,67,126,104,15,26,3,5,3,4,61,66,67,70,17,20,11,12,8,10,5,6,5,10,4,4,0,1,0,0
7-Oct-2023,Wales,43,Georgia,19,87868,No,49,51,51,49,47,53,6,3,5,2,1,0,519,492,16,21,5,3,46,59,144,126,9,7,4,1,48,36,63,91,163,114,21,16,6,8,2,3,63,66,91,98,13,13,13,18,2,2,4,6,3,4,6,4,1,1,0,0
6-Oct-2023,France,60,Italy,7,87867,No,56,44,56,44,57,43,8,1,7,1,2,0,513,457,22,9,11,4,79,58,164,164,10,4,7,6,26,13,87,85,132,162,9,22,9,11,1,1,87,90,85,92,14,15,10,12,6,7,2,4,4,11,2,5,0,0,0,0
5-Oct-2023,New Zealand,73,Uruguay,0,87866,No,63,37,53,47,74,26,11,0,9,0,0,0,843,269,46,11,15,3,109,39,228,96,11,2,9,6,23,10,119,57,92,191,11,46,9,11,0,1,119,124,57,60,7,7,8,12,7,8,4,7,4,4,3,4,0,0,0,0
1-Oct-2023,South Africa,49,Tonga,18,87865,No,55,45,50,50,60,40,7,3,7,0,0,1,392,253,16,14,5,6,68,57,138,130,8,8,8,3,15,15,89,76,146,159,14,16,7,7,1,4,89,90,76,85,17,18,14,15,2,3,6,7,6,6,3,6,0,0,0,0
1-Oct-2023,Australia,34,Portugal,14,87864,No,44,56,52,48,37,63,5,2,3,2,1,0,528,607,18,29,6,10,62,63,114,195,10,11,8,6,29,24,69,88,153,132,29,18,4,7,2,2,69,70,88,89,10,13,15,17,5,7,6,7,7,5,4,2,2,1,0,0
30-Sep-2023,Scotland,84,Romania,0,87863,No,59,41,73,27,46,54,12,0,12,0,0,0,1154,302,72,12,25,1,127,45,298,106,27,2,8,6,14,17,97,72,125,161,12,72,12,12,0,1,97,99,72,74,14,15,10,12,2,4,7,7,5,5,6,5,0,3,0,0
30-Sep-2023,Fiji,17,Georgia,12,87862,No,55,45,53,47,58,42,2,0,2,0,1,4,490,480,17,28,6,7,71,65,188,134,12,8,10,9,21,26,106,68,108,196,28,17,3,5,4,4,106,108,68,73,11,16,7,9,9,13,7,8,6,6,2,7,2,0,0,0
30-Sep-2023,Argentina,59,Chile,5,87861,No,60,40,60,40,60,40,8,1,8,0,1,0,714,316,46,23,12,3,85,31,178,98,10,3,5,9,17,13,97,64,103,184,23,46,9,9,0,2,97,102,64,68,16,16,4,7,5,7,2,3,2,6,7,6,1,0,0,0
29-Sep-2023,New Zealand,96,Italy,17,87860,No,57,43,69,31,44,56,14,2,13,2,0,1,806,445,33,16,20,6,97,49,190,166,14,4,6,1,25,11,70,67,108,125,16,33,13,14,3,3,70,71,67,72,15,15,6,11,5,6,2,8,4,8,3,6,0,0,0,0
28-Sep-2023,Japan,28,Samoa,22,87859,No,43,57,38,62,48,52,3,3,2,2,3,1,426,441,21,31,6,2,54,79,112,140,4,17,3,6,24,17,58,110,181,83,31,21,5,6,3,5,58,61,110,112,14,16,9,11,9,12,5,5,6,6,4,6,1,1,0,1
27-Sep-2023,Uruguay,36,Namibia,26,87858,No,56,44,51,49,61,39,5,2,4,2,1,4,368,353,34,18,7,4,56,47,119,118,6,3,4,5,23,19,73,73,108,121,18,34,5,6,6,6,73,76,73,76,12,13,9,9,10,10,4,5,4,11,5,6,1,2,0,1
24-Sep-2023,Wales,40,Australia,6,87857,No,52,48,41,59,67,33,3,0,2,0,6,2,254,295,15,19,4,3,43,47,116,126,3,6,4,3,24,18,68,74,141,124,19,15,8,10,2,2,68,69,74,75,17,18,7,9,10,10,5,5,6,8,3,4,0,0,0,0
24-Sep-2023,Scotland,45,Tonga,17,87856,No,58,42,59,41,57,43,7,2,5,2,0,1,714,337,48,13,14,1,70,47,199,90,12,4,7,8,19,18,83,52,108,151,13,48,5,7,3,3,83,87,52,55,18,21,4,7,6,8,10,13,2,7,6,3,0,1,0,1
23-Sep-2023,South Africa,8,Ireland,13,87855,No,51,49,42,58,60,40,1,1,0,1,1,2,383,218,23,20,4,4,46,37,121,129,4,2,3,9,16,20,62,74,134,119,20,23,1,5,3,3,62,68,74,77,8,10,12,18,9,11,5,7,4,5,7,4,0,0,0,0
23-Sep-2023,England,71,Chile,0,87854,No,58,42,70,30,46,54,11,0,8,0,0,0,685,256,28,18,15,3,85,31,202,100,8,8,8,3,25,14,83,65,103,140,18,28,8,11,0,1,83,86,65,68,10,11,9,13,8,9,3,4,6,8,5,4,0,1,0,0
23-Sep-2023,Georgia,18,Portugal,18,87853,No,52,48,67,33,38,62,2,2,1,1,2,2,540,420,22,23,6,7,71,47,170,155,10,5,4,8,22,26,76,82,130,133,23,22,3,4,3,5,76,82,82,85,13,14,14,16,7,8,5,6,3,8,6,3,0,1,0,0
22-Sep-2023,Argentina,19,Samoa,10,87852,No,61,39,63,37,60,40,1,1,1,1,4,1,388,132,35,9,2,2,70,24,173,79,5,1,5,9,21,22,85,47,79,139,9,35,5,6,2,4,85,89,47,50,16,16,8,11,9,9,7,9,6,7,5,6,0,1,0,0
21-Sep-2023,France,96,Namibia,0,87851,No,52,48,51,49,53,47,14,0,12,0,0,0,840,403,32,12,19,1,70,45,142,111,10,2,8,3,29,17,41,78,124,64,12,32,12,13,0,1,41,42,78,80,19,21,7,10,5,5,7,9,3,8,1,4,0,1,0,1
20-Sep-2023,Italy,38,Uruguay,17,87850,No,51,49,42,58,58,42,5,2,5,1,1,0,580,498,21,15,5,6,74,56,177,115,7,2,6,8,25,28,74,75,136,119,15,21,6,6,1,3,74,82,75,78,9,10,6,7,9,12,4,6,5,6,3,4,2,1,0,0
17-Sep-2023,England,34,Japan,12,87849,No,66,34,61,39,70,30,4,0,4,0,2,4,533,324,24,14,8,5,64,34,167,96,7,6,2,9,42,37,99,54,83,174,14,24,6,7,4,4,99,102,54,55,10,13,8,12,9,11,6,7,3,5,3,1,0,0,0,0
17-Sep-2023,Australia,15,Fiji,22,87848,No,49,51,44,56,55,45,2,1,1,1,1,5,385,399,21,23,3,2,57,49,103,110,7,6,4,11,29,24,56,52,84,116,23,21,2,3,6,8,56,63,52,54,16,16,17,23,4,5,7,11,8,5,10,2,0,0,0,0
17-Sep-2023,South Africa,76,Romania,0,87847,No,60,40,58,42,61,39,12,0,7,0,0,0,810,246,35,19,12,2,73,40,129,77,12,1,11,4,23,15,60,58,127,113,19,35,7,11,0,1,60,62,58,69,15,17,8,14,6,8,3,6,5,7,2,11,0,0,0,0
16-Sep-2023,Ireland,59,Tonga,16,87846,No,61,39,57,43,65,35,8,1,8,1,1,3,563,256,35,12,7,2,72,39,183,93,5,5,3,6,24,18,92,61,101,159,12,35,9,9,4,4,92,98,61,64,21,23,4,9,5,5,8,8,7,8,6,8,1,0,0,0
16-Sep-2023,Wales,28,Portugal,8,87845,No,57,43,57,43,57,43,4,1,4,0,0,1,636,373,27,14,5,6,90,53,160,151,11,8,5,7,27,30,97,68,112,156,14,27,4,4,1,4,97,100,68,70,9,13,12,13,9,12,6,9,6,9,5,2,1,0,0,1
16-Sep-2023,Samoa,43,Chile,10,87844,No,51,49,49,51,53,47,5,1,3,1,4,1,403,301,13,24,4,2,60,39,143,102,9,4,9,2,22,16,56,68,111,101,24,13,7,9,2,2,56,58,68,74,15,17,10,12,7,9,5,6,5,10,4,7,2,2,0,0
15-Sep-2023,New Zealand,71,Namibia,3,87843,No,64,36,72,28,57,43,11,0,8,0,0,1,733,212,45,10,23,2,80,27,190,57,8,0,5,5,25,13,62,39,68,114,10,45,8,11,1,1,62,65,39,43,11,11,13,18,5,6,4,5,7,3,5,4,0,0,1,0
14-Sep-2023,France,27,Uruguay,12,87842,No,52,48,66,34,39,61,3,2,3,1,2,0,420,281,13,18,4,5,54,44,98,118,9,2,5,9,22,13,48,64,93,89,18,13,5,6,1,2,48,53,64,66,8,9,15,19,9,13,5,9,8,12,7,4,1,0,0,0
10-Sep-2023,Wales,32,Fiji,26,87841,No,39,61,42,58,36,64,4,4,3,3,2,0,396,655,23,34,6,6,47,89,108,171,9,9,11,4,24,17,40,130,253,70,34,23,5,7,3,5,40,45,130,134,10,11,12,13,3,4,7,10,13,6,4,3,1,1,0,0
10-Sep-2023,South Africa,18,Scotland,3,87840,No,54,46,54,46,55,45,2,0,1,0,2,1,602,229,17,22,4,3,57,28,133,139,3,5,5,8,27,28,66,58,89,119,22,17,3,7,1,1,66,68,58,62,11,12,13,17,5,7,7,12,3,4,4,6,0,0,0,0
10-Sep-2023,Japan,42,Chile,12,87839,No,44,56,44,56,44,56,6,2,6,1,0,0,311,374,20,27,7,7,56,53,134,129,2,6,9,8,25,19,65,98,151,101,27,20,6,6,1,2,65,69,98,103,13,14,12,17,11,12,4,5,2,7,4,2,1,2,0,0
9-Sep-2023,England,27,Argentina,10,87838,No,50,50,54,46,46,54,0,1,0,1,6,1,234,308,10,25,1,3,32,43,78,128,2,6,4,1,43,21,55,77,142,83,25,10,6,8,2,3,55,56,77,83,7,7,11,15,8,11,1,2,2,5,5,8,0,1,1,0
9-Sep-2023,Australia,35,Georgia,15,87837,No,57,43,63,37,51,49,4,2,3,1,3,1,711,549,19,24,9,5,81,47,146,94,8,7,7,3,40,35,94,42,70,162,24,19,6,7,2,3,94,96,42,47,15,18,11,14,8,9,6,6,5,7,2,6,0,1,0,0
9-Sep-2023,Ireland,82,Romania,8,87836,No,67,33,57,43,76,24,12,1,11,0,0,1,1098,312,40,11,21,3,113,31,280,48,27,1,8,6,19,25,91,30,64,164,11,40,11,12,1,2,91,93,30,33,8,12,8,10,8,9,8,9,2,7,3,5,0,1,0,0
9-Sep-2023,Italy,52,Namibia,8,87835,No,52,48,47,53,56,44,7,1,7,0,1,1,726,324,41,12,12,3,74,48,178,141,13,4,8,9,21,28,58,78,129,107,12,41,8,8,1,3,58,62,78,81,20,21,9,12,6,6,6,6,6,5,3,8,0,1,0,0
8-Sep-2023,France,27,New Zealand,13,87834,No,49,51,44,56,53,47,2,2,1,0,5,1,449,631,16,32,8,6,43,69,108,154,11,7,8,5,44,39,55,75,135,93,32,16,6,9,1,3,55,59,75,80,13,14,10,11,4,5,5,7,2,7,2,5,0,1,0,0
