,features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,highest_pc_column,highest_pc
0,Possession - Overall,-0.9188695659201982,-0.109729243617238,0.26910423962614277,-0.007670994799321672,-0.022443356434316053,0.06844610634868378,0.07819579083980044,0.04899513439141795,PC1,-0.9188695659201982
1,Total Rucks,-0.8372880947184792,-0.5149496021205383,0.14023713568183313,-0.02220553588977184,0.02459282838122548,-0.08283260389555618,-0.03132165548225957,-0.0029432988698575102,PC1,-0.8372880947184792
2,Rucks Successful,-0.8415562379913828,-0.4899252400357155,0.19472759803276538,-0.013795207289293806,0.07196706742266373,-0.0708996782385972,-0.04527161555252669,-0.02587878763711932,PC1,-0.8415562379913828
3,Tackles Made,0.817470302726227,0.5394718402881902,-0.17521587303973565,0.021226175386611423,-0.03443337071675385,0.0382486958862942,-0.012592788017077488,0.04972061123481674,PC1,0.817470302726227
4,Rucks Won,-0.8415562379913828,-0.4899252400357155,0.19472759803276538,-0.013795207289293806,0.07196706742266373,-0.07089967823859726,-0.045271615552526644,-0.02587878763711932,PC1,-0.8415562379913828
5,Offloads,-0.7109828249966303,0.3218955486665022,-0.06744651522331482,0.23096166722392877,-0.06440177476538946,0.08646330993291877,-0.15333684327919145,-0.14518225686289277,PC1,-0.7109828249966303
6,Passes,-0.901377248892112,0.010431646567468686,-0.08952275812200945,0.08459468773022714,-0.015188623182125615,-0.008162585995562216,-0.09908910350476927,0.07830429031533442,PC1,-0.901377248892112
7,Tackles Missed,0.883934318161645,-0.2754555398322565,0.23951672433358173,-0.014909128837429612,0.16745418556488656,-0.009209278221147248,-0.11686182372389477,-0.10203041927368543,PC1,0.883934318161645
8,Clean breaks,-0.7010183459845543,0.582978520951742,-0.05315516662450553,0.15810995922329552,-0.02251993962727298,0.08550280940243643,0.04425062851727204,0.02479963900828848,PC1,-0.7010183459845543
9,Defenders Beaten,-0.883934318161645,0.2754555398322564,-0.2395167243335819,0.014909128837429592,-0.16745418556488656,0.009209278221147121,0.11686182372389477,0.10203041927368539,PC1,-0.883934318161645
10,Gain line Carries,-0.9277409052462559,0.0633477161814048,0.15986663025206327,0.18264003266853482,-0.14299047144787339,-0.009154207383063603,-0.02456798436144764,-0.035241202633560315,PC1,-0.9277409052462559
11,Metres,-0.8319997904091506,0.30549413028245564,-0.00040564676667429643,0.22504511991362136,-0.14815506246253704,0.12133868856109815,-0.10077365503453421,-0.10293516726794012,PC1,-0.8319997904091506
12,Possession - 1st half,-0.6612949497516678,0.09082290637728645,0.2990448740890201,0.3887106522191094,0.04294657804334296,-0.1067194690823118,0.2302223054703578,0.07284233204399593,PC1,-0.6612949497516678
13,Possession - 2nd half,-0.6614617091793897,-0.2490216876130009,0.09771192644629126,-0.36967312433452393,-0.0750959485183863,0.20315742274414508,-0.09093098078759894,0.018162030293448584,PC1,-0.6614617091793897
14,% Goal kicks Successful,-0.2176462207478411,0.4666222944194441,0.11408164982874268,0.07908651466001537,-0.3001944582832658,-0.1866686710191649,-0.3944078169777456,-0.1906608513831423,PC2,0.4666222944194441
15,% Tackle Successful,-0.38463843799387604,0.7144433357874295,-0.42025859728501164,-0.0458062972990892,-0.22462732680373762,0.060115286837358395,0.14723252471535492,0.10804165818011005,PC2,0.7144433357874295
16,Turnovers won,0.14831911088483193,0.5858522683947262,0.4406461881811894,0.1307243758351763,0.43799332505611155,0.010406637661645561,-0.15752965480831166,-0.23078143154262756,PC2,0.5858522683947262
17,Penalties,0.340595375126519,0.19776882416346978,0.44478027558251954,0.04841995431858211,0.13980286769369998,-0.4326589207126878,-0.06122144110100096,0.31457837365978,PC3,0.44478027558251954
18,Kicks from Hand,0.23150831928399157,0.38836463995380205,0.5819669623873353,0.19094722485780008,0.03510065018709949,-0.0018581072667499818,0.3858164979554653,-0.0066254428621615935,PC3,0.5819669623873353
19,Scrums Successful,0.2647783089086275,0.10901349106949669,0.6580707257887355,-0.19096806039037786,-0.5991974158454599,0.1657402254330734,-0.05312500127174851,0.18239854755287463,PC3,0.6580707257887355
20,Scrums Total,0.24801840431192812,0.047648133079668704,0.5958759296144068,-0.16367106677961693,-0.520228932697752,0.15627541199263636,-0.31716316853488513,0.3625680574406969,PC3,0.5958759296144068
21,% Rucks Successful,-0.3272687296040152,0.13870396167023252,0.6371665467202492,0.0780974854628143,0.47708368858345845,0.1258330991131427,-0.20145200627964174,-0.2166814776048721,PC3,0.6371665467202492
22,Lineouts Successful,-0.47870126439253585,0.2739059114012452,-0.12201385817873894,-0.6919040154915673,0.251462667614904,-0.008514318029060934,0.2174704688139815,0.14337908151248221,PC4,-0.6919040154915673
23,Lineouts Thrown,-0.43004146744846655,0.21174701843977525,-0.1939903518073467,-0.7751690627854178,0.2541870832774339,-0.03160075745862544,-0.011724073949363768,0.11413318629856362,PC4,-0.7751690627854178
24,Penalties Conceded Opp Half,0.09010783245940056,-0.42861046598942626,-0.35960675047677626,0.3306207760467134,-0.4606197598905412,-0.4256771461062272,0.13260224432657697,-0.10138886630054864,PC5,-0.4606197598905412
25,Penalties Conceded Own Half,0.21007989567575502,-0.020842313264133886,-0.5162432326933967,0.4479140851165523,0.11819123012655533,0.5594760359415571,-0.11547485581662417,0.1246036638558842,PC6,0.5594760359415571
26,Yellow Cards,0.21512305044182123,-0.3515047443764721,0.1410682610364287,-0.18132045085448809,-0.2117529840143972,0.6012287050790905,0.1096942858687699,-0.28924778580903465,PC6,0.6012287050790905
27,% Scrums Successful,0.08458738569361275,0.1270272224232415,0.38084313061224867,-0.11722959344669812,-0.23754014119867642,0.02484836167342628,0.6849753462383461,-0.31004118225212896,PC7,0.6849753462383461
28,Red Cards,-0.04850961251541957,-0.2384747796157824,0.18023812947486956,0.46712247269480084,0.3271777175705622,0.23620911974965125,0.2724166936767539,0.5360612043406914,PC8,0.5360612043406914
